row_id,study_id,polygon,coder,citation_screening,exclude_why,citation,fulltext_screening,study_year,intervention_full_name,intervention_dim,intervention_cat,intervention_simple_name,sub_intervention_name,unit,outcome_dim,outcome_cat,outcome_catdim,outcome_indicator_full,outcome_impact,outcome_comment,budget,staff,monitoring,enforcement,clear_rules,gazetted,management,compliance,funding,conflict_resol,stake_agency,decision_making,fishery_type,age,size,size_unit,depth_cat,material_cat,livdiv_process,livdiv_pathway,gear_managed,last_heat_stress,heat_stress_freq,connectivity,cyclone_freq,sediments,nutrients,market_gravity,coastal_pop,ports,tourism,mardep_nutri,mardep_eco,ggi,hdi,wgi,gini,study_design,country,region,location,lat,lon,data_year,cost_USD,paired_intervention_1,paired_intervention_2,mardep,sednutr,n_case_studies,record_weight
11,AccessRestrictions_75,no,pauline,yes,NA,"McClanahan, TR; KaundaArara, B Fishery recovery in a coral-reef marine park and its effect on the adjacent fishery (1996) Conservation Biology",yes,1996,Mombasa Marine National Park,MarCon,FPA,MarCon - FPA,NA,fishers,People,Economic,People - Economic,gross income,neutral,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,3.900000000000091,6,reef_km2,NA,NA,NA,NA,NA,NA,NA,0.42829,0.76178,0.961545534794762,0.925911595084112,0.994100129235264,0.996318411605246,0,0.954465528610155,NA,0.18,0.506,0.5493793181247182,-0.555830652515093,503,BA,Kenya,Western Indian Ocean,Mombasa,-3.978368,39.759685,1994.9,,NA,NA,0.18,0.943728564939437,225,0.5
12,AccessRestrictions_75,no,pauline,yes,NA,"McClanahan, TR; KaundaArara, B Fishery recovery in a coral-reef marine park and its effect on the adjacent fishery (1996) Conservation Biology",yes,1996,Mombasa Marine National Park,MarCon,FPA,MarCon - FPA,NA,fishers,People,Governance,People - Governance,loss of fishing grounds,harmful,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,3.900000000000091,6,reef_km2,NA,NA,NA,NA,NA,NA,NA,0.42829,0.76178,0.961545534794762,0.925911595084112,0.994100129235264,0.996318411605246,0,0.954465528610155,NA,0.18,0.506,0.5493793181247182,-0.555830652515093,503,BA,Kenya,Western Indian Ocean,Mombasa,-3.978368,39.759685,1994.9,,NA,NA,0.18,0.943728564939437,225,0.3333333333333333
13,AccessRestrictions_75,no,pauline,yes,NA,"McClanahan, TR; KaundaArara, B Fishery recovery in a coral-reef marine park and its effect on the adjacent fishery (1996) Conservation Biology",yes,1996,Mombasa Marine National Park,MarCon,FPA,MarCon - FPA,NA,fish,Nature,Species,Nature - Species,fish abundance,beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,3.900000000000091,6,reef_km2,NA,NA,NA,NA,NA,NA,NA,0.42829,0.76178,0.961545534794762,0.925911595084112,0.994100129235264,0.996318411605246,0,0.954465528610155,NA,0.18,0.506,0.5493793181247182,-0.555830652515093,503,BA,Kenya,Western Indian Ocean,Mombasa,-3.978368,39.759685,1994.9,,NA,NA,0.18,0.943728564939437,225,0.25
14,ArtificialStructures_423,no,jessica,yes,NA,"Kasim, HM; Rao, GS; Rajagopalan, M; Vivekanandan, E; Mohanraj, G; Kandasami, D; Muthiah, P; Jagdis, I; Gopakumar, G; Mohan, S Economic performance of artificial reefs deployed along tamil nadu coast, south india (2013) Indian Journal Of Fisheries",yes,2013,Artifical Reefs - Tamil coast,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,fishers,NCP,Fishery,NCP - Fishery,catch,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,medium (6-20m),concrete,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.17,0.49,0.7037289530038834,-0.11242354412873595,342.4166666666667,CI/Distance,India,NA,Tamil coast,9.947479,79.489557,2008,,NA,NA,0.125,NA,72,1
15,ArtificialStructures_423,no,jessica,yes,NA,"Kasim, HM; Rao, GS; Rajagopalan, M; Vivekanandan, E; Mohanraj, G; Kandasami, D; Muthiah, P; Jagdis, I; Gopakumar, G; Mohan, S Economic performance of artificial reefs deployed along tamil nadu coast, south india (2013) Indian Journal Of Fisheries",yes,2013,Artifical Reefs - Tamil coast,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,fishers,People,Economic,People - Economic,income,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,medium (6-20m),concrete,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.17,0.49,0.7037289530038834,-0.11242354412873595,342.4166666666667,CI/Distance,India,NA,Tamil coast,9.947479,79.489557,2008,,NA,NA,0.125,NA,72,1
16,AccessRestrictions_75,no,pauline,yes,NA,"McClanahan, TR; KaundaArara, B Fishery recovery in a coral-reef marine park and its effect on the adjacent fishery (1996) Conservation Biology",yes,1996,Mombasa Marine National Park,MarCon,FPA,MarCon - FPA,NA,fishers,NCP,Fishery,NCP - Fishery,CPUE,beneficial,,NA,NA,NA,NA,NA,NA,state managed,NA,NA,NA,NA,NA,NA,3.900000000000091,6,reef_km2,NA,NA,NA,NA,NA,NA,NA,0.42829,0.76178,0.961545534794762,0.925911595084112,0.994100129235264,0.996318411605246,0,0.954465528610155,NA,0.18,0.506,0.5493793181247182,-0.555830652515093,503,BA,Kenya,Western Indian Ocean,Mombasa,-3.978368,39.759685,1994.9,,NA,NA,0.18,0.943728564939437,225,0.16666666666666666
17,ArtificialStructures_120,no,jessica,yes,NA,"Mohd, FM; Ang, SY; Saiful, BH; Mohd, KHS Colonization of marine epibiota around wabcore artificial reef at panuba bay, tioman island, malaysia (2013) 4th International Conference On Environmental Science And Development- Icesd 2013",yes,2013,Wabcore Blocks - Panuba bay,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,Artificial habitat/substrate,coral,Nature,Habitat,Nature - Habitat,cover,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,polymer,NA,NA,NA,0,1,-0.41388,0.66585,0.733577313520671,0,0.776909966099155,0.642006740420544,0,0.953714557843065,0.43,0.13,0.228,0.7264702419439951,0.4044262195626893,455,BACI,Malaysia,Southeast Asia,Panuba bay,2.861868,104.139766,2010,,NA,NA,0.28,0.3667886567603355,72,1
18,ArtificialStructures_150,no,jessica,yes,NA,"Zheng, XQ; Li, YC; Liang, JL; Lin, RC; Wang, DR Performance of ecological restoration in an impaired coral reef in the wuzhizhou island, sanya, china (2021) Journal Of Oceanology And Limnology",yes,2021,Artificial Reef Frames - Playa Larga,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,coral,Nature,Habitat,Nature - Habitat,recovery,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,medium (6-20m),other,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.13,0.192,0.7576660765541925,-0.2503677594165012,387.8,BACI,China,NA,Wuzhizhou Island,18.350537,109.762151,2018,,NA,NA,0.10500000000000001,NA,67,1
19,ArtificialStructures_150,no,jessica,yes,NA,"Zheng, XQ; Li, YC; Liang, JL; Lin, RC; Wang, DR Performance of ecological restoration in an impaired coral reef in the wuzhizhou island, sanya, china (2021) Journal Of Oceanology And Limnology",yes,2021,Transplanted corals on Artifical Reefs - Wuzhizhou Island,Bioengineering,Transplantation and Restocking,Bioengineering - Transplantation and Restocking,Transplantation / Coral gardening,coral,Nature,Habitat,Nature - Habitat,growth and cover,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,other,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,0.08,0.13,0.192,0.7576660765541925,-0.2503677594165012,387.8,BACI,China,NA,Wuzhizhou Island,18.350537,109.762151,2018,,NA,NA,0.10500000000000001,NA,67,1
20,ArtificialStructures_338,no,jessica,yes,NA,"Islam, GMN; Noh, KM; Sidique, SF; Noh, AFM Economic impact of artificial reefs: a case study of small scale fishers in terengganu, peninsular malaysia (2014) Fisheries Research",yes,2014,Artificial Reef - Terengganu State,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,fishers,People,Economic,People - Economic,benefit,neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,concrete,NA,NA,NA,0,1,-1.76782,0.76178,0.852968221274092,0.923755827022645,0.981794684497387,0.679024104329988,0,0.998717854787897,0.43,0.13,0.228,0.7656905557960272,0.4044262195626893,439,Qualitative,Malaysia,Southeast Asia,Terengganu State,5.191143,103.287724,2010,,NA,NA,0.28,0.8883620241483685,72,1
21,ArtificialStructures_114,no,jessica,yes,NA,"Kirkbride-Smith, AE; Wheeler, PM; Johnson, ML The relationship between diver experience levels and perceptions of attractiveness of artificial reefs - examination of a potential management tool (2013) Plos One",yes,2013,Artificial Reef Diving - Barbados,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,tourists,People,Cultural,People - Cultural,diver satisfaction,mixed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,7,-1.03152,-0.67473,0,0,0.997995916914836,0.989248296578504,0.998223313063228,0,0.24,0.1,0.268,0.8071902751922607,0.8285026152928676,NA,Perceptions/Survey,Barbados,Caribbean-Atlantic,Bridgetown and Oistins,13.068647,-59.583473,2012,,NA,NA,0.16999999999999998,0,72,1
22,ArtificialStructures_42,no,jessica,yes,NA,"Bodmer, MDV; Wheeler, PM; Anand, P; Cameron, SE; Hintikka, S; Cai, W; Borcsok, AO; Exton, DA The ecological importance of habitat complexity to the caribbean coral reef herbivore diadema antillarum: three lines of evidence (2021) Scientific Reports",yes,2021,Artificial Reef Experiment for D. antillarum Restoration,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,algae,Nature,Functions,Nature - Functions,change in cover (proxy for herbivory),beneficial,,NA,NA,NA,NA,NA,NA,scientific/method experiement,NA,NA,NA,NA,NA,NA,2,NA,NA,medium (6-20m),concrete,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.431,0.5982663901079268,-0.7746639450391142,494.6666666666667,CI/Distance,Honduras,NA,La ensenada in Tela Bay,15.799214,-87.439294,2017,,NA,NA,0.23,NA,72,0.5
23,ArtificialStructures_42,no,jessica,yes,NA,"Bodmer, MDV; Wheeler, PM; Anand, P; Cameron, SE; Hintikka, S; Cai, W; Borcsok, AO; Exton, DA The ecological importance of habitat complexity to the caribbean coral reef herbivore diadema antillarum: three lines of evidence (2021) Scientific Reports",yes,2021,Artificial Reef Experiment for D. antillarum Restoration,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Functions,Nature - Functions,recruitment,beneficial,,NA,NA,NA,NA,NA,NA,scientific/method experiement,NA,NA,NA,NA,NA,NA,2,NA,NA,medium (6-20m),concrete,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.431,0.5982663901079268,-0.7746639450391142,494.6666666666667,CI/Distance,Honduras,NA,La ensenada in Tela Bay,15.799214,-87.439294,2017,,NA,NA,0.23,NA,72,0.5
24,ArtificialStructures_42,no,jessica,yes,NA,"Bodmer, MDV; Wheeler, PM; Anand, P; Cameron, SE; Hintikka, S; Cai, W; Borcsok, AO; Exton, DA The ecological importance of habitat complexity to the caribbean coral reef herbivore diadema antillarum: three lines of evidence (2021) Scientific Reports",yes,2021,Artificial Reef Experiment for D. antillarum Restoration,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,urchins,Nature,Species,Nature - Species,density,beneficial,,NA,NA,NA,NA,NA,NA,scientific/method experiement,NA,NA,NA,NA,NA,NA,2,NA,NA,medium (6-20m),concrete,NA,NA,NA,0,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,0.431,0.5982663901079268,-0.7746639450391142,494.6666666666667,CI/Distance,Honduras,NA,La ensenada in Tela Bay,15.799214,-87.439294,2017,,NA,NA,0.23,NA,72,1
25,ArtificialStructures_161,no,jessica,yes,NA,"Enochs, IC; Toth, LT; Brandtneris, VW; Afflerbach, JC; Manzello, DP Environmental determinants of motile cryptofauna on an eastern pacific coral reef (2011) Marine Ecology Progress Series",yes,2011,Artificial Reef Frames - Playa Larga,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,cryptofauna,Nature,Species,Nature - Species,abundance,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,polymer,NA,NA,NA,NA,0,-0.84724,0.64745,0.442584963954686,0.593481104785068,0.825626041842258,0.636017290644003,0,0.888270202945271,0.13,0.21,0.392,0.7143751808575222,0.06160984933376299,527,CI/Distance,Panama,Eastern Tropical Pacific,Isla Contadora,8.62742,-79.03767,2008,,NA,NA,0.16999999999999998,0.518033034369877,72,1
26,ArtificialStructures_200,no,jessica,yes,NA,"BROCK, RE; KAM, AKH Focusing the recruitment of juvenile fishes on coral-reefs (1994) Bulletin Of Marine Science",yes,1994,Artificial Reef Modules - Pulau Weh,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,fish,Nature,Species,Nature - Species,abundance,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,medium (6-20m),concrete,NA,NA,NA,NA,NA,-0.59401,0.76162,0.915771663969398,0.818381147163415,0.99857653911708,0.99692285149095194,0.999981683639827,0.993992233863287,0.05,0.04,0.179,0.9441044195131822,1.026755290882042,382,CI/Distance,United States,Polynesia,Honolulu,21.283466,-157.872578,1989,,NA,NA,0.045,0.8670764055664065,72,1
27,ArtificialStructures_160,no,jessica,yes,NA,"Hylkema, A; Debrot, AO; Osinga, R; Bron, PS; Heesink, DB; Izioka, AK; Reid, CB; Rippen, JC; Treibitz, T; Yuval, M; Murk, AJ Fish assemblages of three common artificial reef designs during early colonization (2020) Ecological Engineering",yes,2020,Layered cakes - Saba and St Eustatius,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,Artificial habitat/substrate,fish,Nature,Species,Nature - Species,"abundance, biomass",beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,medium (6-20m),mixed,NA,NA,NA,8,3,0.06681,-1.40113,0.558279387965279,0.548744311167616,0.67299732164597,0.799509121547366,0,0.939189684225951,0.08,0.09,0.025,0.941,1.618663678566615,283,BACI,Netherlands,Caribbean-Atlantic,Saba and St Eustatius,17.484885,-63.021048,2018,,NA,NA,0.08499999999999999,0.5535118495664475,72,0.5
28,ArtificialStructures_160,no,jessica,yes,NA,"Hylkema, A; Debrot, AO; Osinga, R; Bron, PS; Heesink, DB; Izioka, AK; Reid, CB; Rippen, JC; Treibitz, T; Yuval, M; Murk, AJ Fish assemblages of three common artificial reef designs during early colonization (2020) Ecological Engineering",yes,2020,Layered cakes - Saba and St Eustatius,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,Artificial habitat/substrate,fish,Nature,Species,Nature - Species,species richness,beneficial,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,medium (6-20m),mixed,NA,NA,NA,8,3,0.06681,-1.40113,0.558279387965279,0.548744311167616,0.67299732164597,0.799509121547366,0,0.939189684225951,0.08,0.09,0.025,0.941,1.618663678566615,283,BACI,Netherlands,Caribbean-Atlantic,Saba and St Eustatius,17.484885,-63.021048,2018,,NA,NA,0.08499999999999999,0.5535118495664475,72,0.5
29,ArtificialStructures_162,no,jessica,yes,NA,"Perkol-Finkel, S; Benayahu, Y Community structure of stony and soft corals on vertical unplanned artificial reefs in eilat (red sea): comparison to natural reefs (2004) Coral Reefs",yes,2004,Artificial Reefs - Dolphin Reef,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Habitat,Nature - Habitat,abundance,mixed,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,NA,mixed,NA,NA,NA,NA,NA,0.16939,0.76178,0.670332499632191,0.742966115748162,0.681500627446573,0.852882995091215,0.999981683639827,0.971115100007327,0.03,0.02,0.083,0.7165960181843151,0.6533031960328425,368,CI/Distance,Israel,Middle East and North Africa,Eilat,29.525114,34.937443,2000,,NA,NA,0.025,0.7066493076901765,72,1
30,ArtificialStructures_348,no,jessica,yes,NA,"Perkol-Finkel, S; Benayahu, Y Differential recruitment of benthic communities on neighboring artificial and natural reefs (2007) Journal Of Experimental Marine Biology And Ecology",yes,2007,Artificial Reefs - Dolphin Reef,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Functions,Nature - Functions,recruitment,neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16939,0.76178,0.670332499632191,0.742966115748162,0.681500627446573,0.852882995091215,0.999981683639827,0.971115100007327,0.03,0.02,0.083,0.7165960181843151,0.6533031960328425,406,CI/Distance,Israel,Middle East and North Africa,Eilat,29.525114,34.937443,2004,,NA,NA,0.025,0.7066493076901765,72,1
31,ArtificialStructures_348,no,jessica,yes,NA,"Perkol-Finkel, S; Benayahu, Y Differential recruitment of benthic communities on neighboring artificial and natural reefs (2007) Journal Of Experimental Marine Biology And Ecology",yes,2007,Artificial Reefs - Pyramid Reef,Bioengineering,Artificial Structures,Bioengineering - Artificial Structures,NA,coral,Nature,Functions,Nature - Functions,recruitment,neutral,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16939,0.76178,0.670332499632191,0.742966115748162,0.681500627446573,0.852882995091215,0.999981683639827,0.971115100007327,0.03,0.02,0.083,0.7227925693810876,0.6533031960328425,406,CI/Distance,Israel,Middle East and North Africa,Eilat,29.541845,34.960661,2004,,NA,NA,0.025,0.7066493076901765,72,1
